Scan,DL Bat. V,DC Volts(EB),DC Amps(EB),DC Watts(EB),DC Wh (EB),DC Volts(ET),DC Amps(ET),DC Watts(ET),DC Wh(ET),DC Volts(PT),DC Amps(PT),DC Watts(PT),DC Wh(PT)
Feb 29 2016  1:28PM,11.877,160.607,2.48,398.233,2447.941,158.506,2.425,384.362,2410.787,156.486,2.393,374.455,1411.764
Feb 29 2016  1:29PM,11.863,160.58,2.425,389.429,2447.947,158.557,2.376,376.756,2410.793,156.697,2.341,366.785,1411.77
Feb 29 2016  1:30PM,11.867,160.631,2.42,388.658,2447.954,158.723,2.371,376.367,2410.8,156.992,2.32,364.283,1411.776
Feb 29 2016  1:31PM,11.871,163.665,2.475,405.108,2447.96,158.732,2.435,386.581,2410.806,159.703,2.368,378.242,1411.782
Feb 29 2016  1:32PM,11.863,166.818,2.635,439.6,2447.968,158.498,2.645,419.187,2410.812,159.738,2.581,412.223,1411.788
Feb 29 2016  1:33PM,11.869,166.849,3.07,512.169,2447.975,162.382,2.955,479.827,2410.82,159.91,2.826,451.903,1411.797
Feb 29 2016  1:34PM,11.876,169.043,3.556,601.079,2447.985,164.76,3.512,578.576,2410.828,159.625,3.377,538.996,1411.804
Feb 29 2016  1:35PM,11.863,166.89,2.854,476.263,2447.992,160.408,2.861,458.863,2410.837,160.004,2.797,447.59,1411.811
Feb 29 2016  1:36PM,11.863,167.035,2.888,482.424,2448,160.427,2.899,465.028,2410.844,160.005,2.836,453.859,1411.819
Feb 29 2016  1:37PM,11.87,168.06,2.908,488.753,2448.009,160.416,2.941,471.796,2410.853,160.046,2.878,460.624,1411.826
Feb 29 2016  1:38PM,11.866,166.397,2.889,480.705,2448.016,160.254,2.914,467.058,2410.86,160.006,2.852,456.333,1411.835
Feb 29 2016  1:39PM,11.871,169.24,3.981,673.82,2448.025,157.008,4.243,666.147,2410.868,164.335,3.619,594.757,1411.842
Feb 29 2016  1:40PM,11.861,168.387,6.28,1057.521,2448.042,165.152,6.189,1022.095,2410.885,160.931,6.178,994.188,1411.859
Feb 29 2016  1:41PM,11.873,166.966,6.318,1054.917,2448.06,160.598,6.343,1018.688,2410.902,159.085,6.154,979.045,1411.874
Feb 29 2016  1:42PM,11.871,165.849,6.178,1024.564,2448.076,160.281,6.192,992.397,2410.918,159.027,5.987,952.031,1411.891
Feb 29 2016  1:43PM,11.863,165.018,6.37,1051.08,2448.094,160.055,6.379,1020.998,2410.935,159.419,6.148,980.083,1411.906
Feb 29 2016  1:44PM,11.864,161.425,6.445,1040.459,2448.11,160.233,6.251,1001.664,2410.951,158.314,6.135,971.313,1411.923
Feb 29 2016  1:45PM,11.865,160.687,5.421,871.068,2448.128,160.07,5.251,840.492,2410.968,158.203,5.271,833.873,1411.938
Feb 29 2016  1:46PM,11.866,160.719,5.885,945.887,2448.142,159.873,5.707,912.343,2410.981,156.689,5.699,892.912,1411.953
Feb 29 2016  1:47PM,11.862,160.699,6.484,1041.94,2448.16,159.126,6.363,1012.436,2410.997,157.638,6.19,975.796,1411.968
Feb 29 2016  1:48PM,11.877,160.692,6.556,1053.514,2448.176,158.867,6.49,1031.106,2411.014,156.473,6.395,1000.7,1411.985
Feb 29 2016  1:49PM,11.866,158.54,5.993,950.135,2448.194,159.202,5.356,852.598,2411.03,149.562,6.036,902.729,1412
Feb 29 2016  1:50PM,11.864,160.747,6.518,1047.7,2448.21,158.775,6.404,1016.789,2411.048,157.93,6.209,980.61,1412.017
Feb 29 2016  1:51PM,11.861,160.728,6.835,1098.532,2448.229,159.088,6.662,1059.913,2411.063,155.9,6.561,1022.779,1412.033
Feb 29 2016  1:52PM,11.873,160.822,6.894,1108.68,2448.247,160.346,6.686,1071.996,2411.083,156.394,6.62,1035.276,1412.051
Feb 29 2016  1:53PM,11.876,160.801,6.918,1112.357,2448.264,157.935,6.864,1084.092,2411.1,155.739,6.666,1038.15,1412.067
Feb 29 2016  1:54PM,11.87,160.796,6.881,1106.484,2448.284,159.36,6.744,1074.785,2411.119,156.326,6.616,1034.287,1412.083
Feb 29 2016  1:55PM,11.865,160.745,5.957,957.546,2448.3,156.2,5.94,927.796,2411.134,156.555,5.739,898.407,1412.1
Feb 29 2016  1:56PM,11.861,160.599,6.437,1033.72,2448.317,158.028,6.359,1004.899,2411.151,156.263,6.127,957.374,1412.115
Feb 29 2016  1:57PM,11.864,160.521,6.563,1053.424,2448.334,157.889,6.478,1022.78,2411.167,156.172,6.369,994.694,1412.132
Feb 29 2016  1:58PM,11.87,160.483,6.895,1106.585,2448.353,158.357,6.749,1068.743,2411.185,155.113,6.705,1040.023,1412.147
Feb 29 2016  1:59PM,11.869,159.131,6.762,1076.09,2448.369,155.724,6.663,1037.574,2411.202,152.787,6.52,996.177,1412.166
Feb 29 2016  2:00PM,11.869,159.233,6.611,1052.704,2448.388,156.472,6.493,1015.91,2411.219,156.197,6.246,975.624,1412.181
Feb 29 2016  2:32PM,11.873,158.507,6.867,1088.512,2448.406,157.972,6.71,1060.003,2411.237,158.718,2.826,448.558,1412.586
Feb 29 2016  2:33PM,11.87,160.048,6.911,1106.047,2448.423,156.078,6.867,1071.827,2411.253,162.769,3.376,549.565,1412.603
Feb 29 2016  2:34PM,11.864,160.303,6.905,1106.98,2448.443,155.436,6.911,1074.289,2411.272,158.886,2.97,471.962,1412.611
Feb 29 2016  2:35PM,11.87,158.626,6.9,1094.457,2448.46,156.669,6.771,1060.864,2411.29,159.396,2.943,469.092,1412.618
Feb 29 2016  2:36PM,11.867,158.611,6.735,1068.178,2448.477,155.732,6.657,1036.699,2411.306,159.358,2.973,473.753,1412.627
Feb 29 2016  2:37PM,11.864,158.322,6.67,1055.948,2448.496,155.174,6.468,1003.702,2411.324,159.457,2.957,471.549,1412.634
Feb 29 2016  2:38PM,11.872,158.53,6.339,1004.984,2448.512,155.47,6.188,961.987,2411.34,159.638,2.816,449.534,1412.641
Feb 29 2016  2:39PM,11.864,160.406,4.91,787.508,2448.528,156.443,4.833,756.033,2411.354,158.631,2.507,397.737,1412.649
Feb 29 2016  2:40PM,11.865,160.84,5.371,863.795,2448.541,156.482,5.319,832.346,2411.367,158.526,3.11,493.045,1412.657
