Scan,DL Bat. V,DC Volts(EB),DC Amps(EB),DC Watts(EB),DC Wh(EB),DC Volts(ET),DC Amps(ET),DC Watts(ET),DC Wh(ET),DC Volts(PT),DC Amps(PT),DC Watts(PT),DC Wh(PT)
Feb  2 2016  6:06AM,11.839,1.505,0,0,2267.963,0,0,0,2251.691,1.576,0,0,1253.425
Feb  2 2016  6:07AM,11.841,1.799,0,0,2267.963,1.522,0,0,2251.691,1.836,0,0,1253.425
Feb  2 2016  6:08AM,11.845,2.19,0,0,2267.963,1.814,0,0,2251.691,2.202,0,0,1253.425
Feb  2 2016  6:09AM,11.848,2.476,0,0,2267.963,2.048,0,0,2251.691,2.686,0,0,1253.425
Feb  2 2016  6:10AM,11.843,2.943,0,0,2267.963,2.589,0,0,2251.691,3.107,0,0,1253.425
Feb  2 2016  6:11AM,11.837,3.364,0,0,2267.963,2.982,0,0,2251.691,3.71,0,0,1253.425
Feb  2 2016  6:12AM,11.843,4.013,0,0,2267.963,3.649,0,0,2251.691,4.239,0,0,1253.425
Feb  2 2016  6:13AM,11.846,4.511,0,0,2267.963,4.121,0,0,2251.691,5.005,0,0,1253.425
Feb  2 2016  6:14AM,11.838,5.306,0,0,2267.963,4.933,0,0,2251.691,5.861,0,0,1253.425
Feb  2 2016  6:15AM,11.847,6.317,0,0,2267.963,5.933,0,0,2251.691,6.86,0,0,1253.425
Feb  2 2016  6:16AM,11.837,7.398,0,0,2267.963,6.999,0,0,2251.691,8.318,0,0,1253.425
Feb  2 2016  6:17AM,11.843,9.07,0,0,2267.963,8.701,0,0,2251.691,9.855,0,0,1253.425
Feb  2 2016  6:18AM,11.836,10.78,0,0,2267.963,10.429,0,0,2251.691,12.084,0,0,1253.425
Feb  2 2016  6:19AM,11.837,13.229,0,0,2267.963,12.871,0,0,2251.691,14.491,0,0,1253.425
Feb  2 2016  6:20AM,11.839,16.254,0,0,2267.963,15.861,0,0,2251.691,18.247,0,0,1253.425
Feb  2 2016  6:21AM,11.848,21.156,0,0,2267.963,20.792,0,0,2251.691,22.968,0,0,1253.425
Feb  2 2016  6:22AM,11.845,27.128,0,0,2267.963,26.884,0,0,2251.691,30.482,0,0,1253.425
Feb  2 2016  6:23AM,11.84,36.094,0,0,2267.963,34.701,0,0,2251.691,39.328,0,0,1253.425
Feb  2 2016  6:24AM,11.842,44.874,0,0,2267.963,44.202,0,0,2251.691,50.129,0,0,1253.425
Feb  2 2016  6:25AM,11.847,54.976,0,0,2267.963,55.289,0,0,2251.691,62,0,0,1253.425
Feb  2 2016  6:26AM,11.839,68.867,0,0,2267.963,69.02,0,0,2251.691,76.979,0,0,1253.425
Feb  2 2016  6:27AM,11.85,84.004,0,0,2267.963,83.616,0,0,2251.691,91.119,0,0,1253.425
Feb  2 2016  6:28AM,11.841,53.986,0,0,2267.963,58.352,0,0,2251.691,74.076,0,0,1253.425
Feb  2 2016  6:29AM,11.839,90.041,0,0,2267.963,91.511,0,0,2251.691,76.956,0,0,1253.425
Feb  2 2016  6:30AM,11.84,99.768,0,0,2267.963,94.146,0,0,2251.691,91.917,0,0,1253.425
Feb  2 2016  6:31AM,11.839,51.581,0,0,2267.963,59.358,0,0,2251.691,88.396,0,0,1253.425
Feb  2 2016  6:32AM,11.845,49.306,0,0,2267.963,46.73,0,0,2251.691,91.302,0,0,1253.425
Feb  2 2016  6:33AM,11.839,83.657,0,0,2267.963,76.232,0,0,2251.691,100.868,0,0,1253.425
Feb  2 2016  6:34AM,11.842,55.571,0,0,2267.963,74.135,0,0,2251.691,49.232,0,0,1253.425
Feb  2 2016  6:35AM,11.84,76.798,0,0,2267.963,97.376,0,0,2251.691,86.83,0,0,1253.425
Feb  2 2016  6:36AM,11.845,62.631,0,0,2267.963,40.628,0,0,2251.691,96.9,0,0,1253.425
Feb  2 2016  6:37AM,11.838,71.297,0,0,2267.963,94.414,0,0,2251.691,60.779,0,0,1253.425
Feb  2 2016  6:38AM,11.84,105.273,0,0,2267.963,89.473,0,0,2251.691,99.826,0,0,1253.425
Feb  2 2016  6:39AM,11.84,59.509,0,0,2267.963,74.723,0,0,2251.691,75.06,0,0,1253.425
Feb  2 2016  6:40AM,11.843,107.073,0,0,2267.963,99.616,0,0,2251.691,70.101,0,0,1253.425
Feb  2 2016  6:41AM,11.838,67.675,0,0,2267.963,79.592,0,0,2251.691,109.216,0,0,1253.425
Feb  2 2016  6:42AM,11.845,86.434,0,0,2267.963,57.819,0,0,2251.691,42.977,0,0,1253.425
Feb  2 2016  6:43AM,11.842,93.396,0,0,2267.963,110.479,0,0,2251.691,81.418,0,0,1253.425
Feb  2 2016  6:44AM,11.845,108.117,0,0,2267.963,87.543,0,0,2251.691,114.991,0,0,1253.425
Feb  2 2016  6:45AM,11.847,107.884,0,0,2267.963,91.446,0,0,2251.691,66.637,0,0,1253.425
Feb  2 2016  6:46AM,11.84,122.111,0.053,6.452,2267.963,123.513,0,0,2251.691,146.758,0,0,1253.425
Feb  2 2016  6:47AM,11.845,147.454,0,0,2267.963,147.441,0,0,2251.691,155.991,0,0,1253.425
Feb  2 2016  6:48AM,11.838,156.082,0,0,2267.963,154.633,0,0,2251.691,161.686,0,0,1253.425
Feb  2 2016  6:49AM,11.84,162.07,0,0,2267.963,161.638,0,0,2251.691,166.396,0,0,1253.425
Feb  2 2016  6:50AM,11.847,166.641,0,0,2267.963,166.164,0,0,2251.691,170.54,0,0,1253.425
Feb  2 2016  6:51AM,11.847,170.232,0,0,2267.963,169.681,0,0,2251.691,172.975,0,0,1253.425
Feb  2 2016  6:52AM,11.846,172.577,0,0,2267.963,172.085,0,0,2251.691,175.137,0,0,1253.425
Feb  2 2016  6:53AM,11.841,174.687,0,0,2267.963,174.256,0,0,2251.691,176.757,0,0,1253.425
Feb  2 2016  6:54AM,11.837,176.493,0,0,2267.963,175.928,0,0,2251.691,178.342,0,0,1253.425
Feb  2 2016  6:55AM,11.845,178.325,0,0,2267.963,177.689,0,0,2251.691,179.873,0,0,1253.425
Feb  2 2016  6:56AM,11.848,179.848,0,0,2267.963,179.431,0,0,2251.691,181.013,0,0,1253.425
Feb  2 2016  6:57AM,11.841,181.286,0,0,2267.963,180.626,0,0,2251.691,182.226,0,0,1253.425
Feb  2 2016  6:58AM,11.845,182.586,0,0,2267.963,182.056,0,0,2251.691,183.288,0,0,1253.425
Feb  2 2016  6:59AM,11.838,183.639,0,0,2267.963,183.18,0,0,2251.691,184.361,0,0,1253.425
Feb  2 2016  7:00AM,11.843,184.578,0,0,2267.963,184.079,0,0,2251.691,185.122,0,0,1253.425
Feb  2 2016  7:01AM,11.836,185.544,0,0,2267.963,184.79,0,0,2251.691,185.918,0,0,1253.425
Feb  2 2016  7:02AM,11.841,186.265,0.051,9.547,2267.963,185.572,0,0,2251.691,186.44,0,0,1253.425
Feb  2 2016  7:03AM,11.848,186.644,0.051,9.595,2267.963,186.166,0,0,2251.691,186.964,0,0,1253.425
Feb  2 2016  7:04AM,11.841,187.446,0.053,9.862,2267.964,186.656,0,0,2251.691,187.476,0,0,1253.425
Feb  2 2016  7:05AM,11.848,187.776,0.054,10.128,2267.964,187.337,0,0,2251.691,187.966,0,0,1253.425
Feb  2 2016  7:06AM,11.844,188.493,0.056,10.492,2267.964,187.759,0,0,2251.691,188.475,0,0,1253.425
Feb  2 2016  7:07AM,11.838,189.336,0.057,10.858,2267.964,188.544,0,0,2251.691,189.097,0,0,1253.425
Feb  2 2016  7:08AM,11.844,190.035,0.058,11.034,2267.965,189.329,0,0,2251.691,189.801,0,0,1253.425
Feb  2 2016  7:09AM,11.844,190.844,0.058,11.075,2267.965,189.83,0,0,2251.691,190.408,0,0,1253.425
Feb  2 2016  7:10AM,11.85,191.604,0.058,11.133,2267.965,190.529,0,0,2251.691,191.121,0,0,1253.425
Feb  2 2016  7:11AM,11.841,192.49,0.058,11.148,2267.965,191.346,0,0,2251.691,191.845,0,0,1253.425
Feb  2 2016  7:12AM,11.838,193.313,0.058,11.178,2267.965,191.642,0,0,2251.691,192.208,0,0,1253.425
Feb  2 2016  7:13AM,11.846,193.882,0.058,11.248,2267.966,192.408,0,0,2251.691,192.896,0,0,1253.425
Feb  2 2016  7:14AM,11.846,194.511,0.058,11.193,2267.966,192.791,0,0,2251.691,193.311,0,0,1253.425
Feb  2 2016  7:15AM,11.841,195.376,0.057,11.169,2267.966,193.482,0,0,2251.691,193.9,0,0,1253.425
Feb  2 2016  7:16AM,11.846,195.675,0.057,11.206,2267.966,193.706,0,0,2251.691,194.195,0,0,1253.425
Feb  2 2016  7:17AM,11.848,196.128,0.057,11.205,2267.967,194.118,0,0,2251.691,194.489,0,0,1253.425
Feb  2 2016  7:18AM,11.836,196.553,0.057,11.252,2267.967,194.525,0,0,2251.691,194.895,0,0,1253.425
Feb  2 2016  7:19AM,11.84,197.262,0.057,11.296,2267.967,195.046,0,0,2251.691,195.281,0,0,1253.425
Feb  2 2016  7:20AM,11.842,197.446,0.057,11.273,2267.967,195.422,0,0,2251.691,195.697,0,0,1253.425
Feb  2 2016  7:21AM,11.837,197.784,0.057,11.316,2267.967,195.506,0,0,2251.691,195.865,0,0,1253.425
Feb  2 2016  7:22AM,11.844,198.314,0.057,11.304,2267.967,195.939,0,0,2251.691,196.139,0,0,1253.425
