Scan,DL Bat. V,DC Volts(EB),DC Amps(EB),DC Watts(EB),DC Wh(EB),DC Volts(ET),DC Amps(ET),DC Watts(ET),DC Wh(ET),DC Volts(PT),DC Amps(PT),DC Watts(PT),DC Wh(PT)
Feb 28 2016 12:59AM,11.861,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:00AM,11.852,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:01AM,11.849,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:02AM,11.859,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:03AM,11.854,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:04AM,11.856,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:05AM,11.857,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:06AM,11.854,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:07AM,11.848,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:08AM,11.845,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:09AM,11.848,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:10AM,11.848,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:11AM,11.849,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:12AM,11.845,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:13AM,11.852,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:14AM,11.848,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:15AM,11.853,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:16AM,11.855,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:17AM,11.854,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:18AM,11.844,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:19AM,11.846,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:20AM,11.853,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:21AM,11.848,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:22AM,11.855,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:23AM,11.847,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:24AM,11.854,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:25AM,11.844,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:26AM,11.848,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:27AM,11.856,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:28AM,11.844,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:29AM,11.851,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:30AM,11.844,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:31AM,11.844,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:32AM,11.851,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  1:33AM,11.844,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
